,SMILES,new name,old name,homo,lumo,bandgap,
235,C1=C2C(C(=O)N1)=C(OC2=O)C=C,235,346,-6.110370936,-2.925142259,3.185228677,
236,c1sc(c2c1cc(S)cc2)C=C,236,117,-5.361704099,-1.932906314,3.428797785,
237,c1sc(c2c1C(=O)c1ccc(CC)cc1C2=O)C=C,237,658,-6.504881596,-2.757683395,3.747198201,
238,c1oc(c(c1C)C),238,282,-5.989416329,0.401830523,6.391246852,
239,c1c2c(=O)sc(=O)c2c(c2c1c(=O)sc2=O),239,544,-8.075359473,-4.020101182,4.055258291,
240,c1occc1SC=C,240,202,-5.837576801,-0.312305066,5.525271735,
241,c1c(OCC)cc(OCC)c(c1)C=C,241,365,-5.375690751,-0.676964837,4.698725914,
242,c1scc(C(=O)OC)c1C=C,242,402,-6.229012575,-1.320568516,4.908444059,
243,C1=C(Cc2c(C1)nsn2),243,979,-6.881405531,-1.492462836,5.388942695,
244,c1sc(c2c1ncs2),244,111,-6.212658532,-1.378419921,4.834238611,duplicate
245,C1=C(N(=O)=O)C=C/C/1=C\1/C=CC(N(=O)=O)=C1,245,109,-7.458613431,-4.592873626,2.865739805,
246,c1c(C)Nc(C)c1,246,242,-5.226599572,1.045842373,6.272441945,
247,c1ccc(=O)c1C=C,247,122,-6.164603226,-3.027212164,3.137391062,
248,c1cscc1C(=O)O,248,47u,-7.279263192,-1.584083569,5.695179623,duplicate
249,c(s1)c(O)c(NN)c1,249,383,-5.31280524,0.006068139,5.318873379,
250,c1sccc1N(CC),250,518,-5.230654068,-0.050041737,5.180612331,
251,C1C(=O)O[C@@H]2[C@H]1CC[C@@H]1[C@H]2OC(=O)C1,251,937,-7.621636839,-0.145472064,7.476164775,
252,C(=S)[CH]C1=[S]C=C(O1)C=C,252,441,-5.351173293,-2.060745401,3.290427892,
253,C1=C/C(/C(=C1)C#N)=C\1/C=C(C=C1C#N),253,99,-7.003856764,-4.176566646,2.827290118,
254,C1OCC1,254,306,-6.722110083,1.542477362,8.264587445,
255,c1c(F)sc(F)c1,255,407,-6.427465206,-0.51886669,5.908598516,
256,c1sc(C=O)c(c1)C=C,256,904,-6.560637724,-2.256912276,4.303725448,
257,c1c(nc2cSc12)C=C,257,577,-5.724894455,-2.876950896,2.847943559,
258,c1sc(c2c1OCCS2),258,498,-6.010015348,-1.282962382,4.727052966,
259,c1sc(c2c1oc(N(=O)=O)c2)C=C,259,468,-6.276959035,-3.018395675,3.25856336,
260,N1[C@H]2[C@H](N[C@@H]3[C@@H](CSC3)N2)N(S1)C=C,260,230,-5.421487512,-0.309094123,5.112393389,
